user_id,group,converted,session_duration_sec,day
0,control,0,168.09615615947195,17
1,control,1,280.8876050386619,20
2,control,0,390.2074725332892,16
3,control,0,157.68829533935417,12
4,control,0,391.04196120375843,18
5,control,0,252.50313418103602,9
6,control,0,458.1864256915693,3
7,control,0,216.8374641928218,10
8,control,0,307.5835609005648,11
9,control,0,238.80235923014905,2
10,control,0,230.96649178118102,8
11,control,1,285.8188609757757,20
12,control,0,337.6751982450371,11
13,control,0,115.61446207236546,18
14,control,0,578.3505457020044,20
15,control,0,80.17423273620945,7
16,control,0,162.24584297663682,14
17,control,0,231.2359360682769,7
18,control,0,313.37908172753083,1
19,control,0,629.9897293570468,12
20,control,0,80.24023778447145,1
21,control,0,180.43733138899748,3
22,control,0,68.29932661611397,2
23,control,0,249.37883958212487,3
24,control,0,288.01430547773055,4
25,control,0,635.5415342520599,14
26,control,0,263.059661572328,18
27,control,0,457.7920664620226,5
28,control,0,347.33934755870854,15
29,control,0,188.4534603664533,16
30,control,0,105.0696592820878,8
31,control,0,288.58837907252575,21
32,control,0,99.95686967626843,8
33,control,1,532.2558227554081,7
34,control,1,222.01895004179596,6
35,control,0,501.2507359789332,7
36,control,0,183.43701013047004,19
37,control,0,287.5251894393447,1
38,control,0,277.4412820001101,13
39,control,0,238.16733841470474,7
40,control,0,188.74639563287676,1
41,control,0,309.65959425079245,10
42,control,0,140.37284229160804,13
43,control,0,118.43198181131181,4
44,control,0,515.7881586826218,7
45,control,0,378.53206805165195,6
46,control,0,254.5595928499002,6
47,control,0,664.5335922363975,21
48,control,0,208.37528082595458,11
49,control,0,541.1096464622011,9
50,control,1,271.87555710304383,7
51,control,0,132.31025084674647,9
52,control,1,741.6104572350648,6
53,control,0,443.37969753009986,19
54,control,0,227.55395643068297,14
55,control,1,378.5328108780743,1
56,control,0,192.05426063989478,16
57,control,0,402.417223994089,9
58,control,0,58.285471554242086,15
59,control,0,132.703749948646,19
60,control,0,440.34382691784367,10
61,control,0,210.65183027073041,16
62,control,0,277.1407159263427,3
63,control,0,109.06331691761056,19
64,control,0,741.5333948297647,13
65,control,0,499.8548649724606,14
66,control,0,216.93306917334667,7
67,control,0,191.9399352572137,2
68,control,0,453.8481255485365,14
69,control,1,803.9059382442781,17
70,control,0,433.6579776533096,13
71,control,0,900.618365736245,2
72,control,0,140.69426496574587,5
73,control,0,149.66027642953574,4
74,control,0,119.89727436041017,3
75,control,0,318.9570294489559,14
76,control,0,271.88036361369296,11
77,control,0,223.36994115794855,8
78,control,0,397.643222300739,9
79,control,0,512.5494340935438,16
80,control,0,97.96424394873942,3
81,control,0,171.02620378289978,10
82,control,0,400.2487210419975,1
83,control,0,184.81527074310472,9
84,control,0,151.5743637239405,16
85,control,0,450.84448462532794,9
86,control,0,112.87713859837201,12
87,control,0,204.1902414324372,1
88,control,0,298.0276941220624,16
89,control,0,173.41855259154653,8
90,control,0,391.4639359674818,14
91,control,0,173.93363438559254,14
92,control,0,569.7352026119768,10
93,control,0,226.90971827084235,1
94,control,0,366.0471250291718,6
95,control,0,382.8389374145005,9
96,control,0,167.91803918293914,19
97,control,0,71.3721738079671,16
98,control,0,303.8254785373414,19
99,control,0,255.53848084777087,11
100,control,0,341.5505244050759,21
101,control,0,213.59538831562196,11
102,control,0,188.99931311097453,14
103,control,0,816.546455418254,7
104,control,0,101.14828041199664,12
105,control,0,380.07564056056555,20
106,control,0,173.33720948832385,20
107,control,0,200.04309720429757,5
108,control,0,202.29728035411372,1
109,control,0,151.09963225607066,11
110,control,0,344.72070075930424,15
111,control,0,563.6233208670919,10
112,control,1,324.41001584460247,15
113,control,0,260.3506035228116,13
114,control,0,135.38677749009761,15
115,control,0,333.6508742125428,2
116,control,0,892.3065853156137,13
117,control,0,194.72401058861337,12
118,control,0,195.27520130764054,4
119,control,0,174.74827702547904,12
120,control,0,182.42724925057104,15
121,control,0,47.12578331959825,13
122,control,0,312.005629686421,2
123,control,0,147.3290755760961,20
124,control,0,93.11563694057267,16
125,control,0,384.4885347246207,14
126,control,0,127.8412588411646,21
127,control,0,199.69647078260644,2
128,control,0,589.8483292081773,17
129,control,0,105.05358162464982,16
130,control,0,97.55741331807383,4
131,control,0,287.60376410194306,11
132,control,0,487.696076805897,13
133,control,0,95.14432690924482,6
134,control,1,312.502929053055,17
135,control,0,346.7484967664427,1
136,control,0,71.12961028258476,9
137,control,0,395.08494908137436,21
138,control,0,414.04038935915867,18
139,control,1,202.94371123737832,11
140,control,1,518.742605704034,14
141,control,0,483.89761476388594,2
142,control,0,260.3093562429244,20
143,control,0,186.63088063626228,11
144,control,0,136.49708573225158,2
145,control,0,239.2387229890762,4
146,control,0,344.4177643583526,13
147,control,0,201.4404659472892,6
148,control,0,65.46393608214042,7
149,control,0,523.8620240392625,20
150,control,0,274.2757351686228,3
151,control,0,194.84907840243852,4
152,control,0,409.2372384754902,21
153,control,0,610.8082974965522,20
154,control,1,45.55193293710053,3
155,control,0,317.52551901499623,1
156,control,0,103.96044325940755,19
157,control,0,330.12332741340254,21
158,control,0,264.213191660032,13
159,control,0,358.3233947273217,14
160,control,0,181.35409231307096,16
161,control,0,79.52376699616798,4
162,control,0,186.751542791649,17
163,control,0,312.3450733873727,10
164,control,0,449.9945165317553,7
165,control,0,121.13446622874605,13
166,control,0,453.15591800681494,13
167,control,0,165.88198905145353,14
168,control,0,304.1344669056438,6
169,control,0,180.19933021701493,16
170,control,0,272.9537526514385,9
171,control,0,417.85169826899966,20
172,control,0,117.18941456198507,16
173,control,0,162.7241542379446,21
174,control,0,273.4113813636419,21
175,control,0,1033.7520161042369,12
176,control,0,145.77818311813016,16
177,control,0,832.2062706916612,5
178,control,1,814.5647994432645,11
179,control,0,230.81425809772134,1
180,control,0,204.61056392672393,10
181,control,0,161.5413069910249,11
182,control,1,234.88087760122283,15
183,control,0,105.21105080528001,3
184,control,0,233.7510335136149,15
185,control,0,600.7195365560434,11
186,control,0,169.58409890634755,9
187,control,0,211.7836887323547,2
188,control,0,88.17431570447931,12
189,control,0,306.2608693176604,20
190,control,0,286.7724404881937,16
191,control,0,254.2254357883589,16
192,control,0,214.84219241674685,21
193,control,0,205.27391310083482,1
194,control,0,330.67636248575155,16
195,control,0,240.4975828671397,6
196,control,0,295.5928861343674,14
197,control,0,278.3807248115653,11
198,control,0,480.12974634302543,1
199,control,0,367.30642986294276,20
200,control,0,274.7103049563897,17
201,control,0,608.5342631435277,19
202,control,0,314.8703974305597,2
203,control,0,535.3804487204421,14
204,control,0,352.1881553503657,8
205,control,0,81.0323576968285,6
206,control,0,535.3393570197958,9
207,control,0,265.3648694449406,5
208,control,0,237.181847858288,5
209,control,0,289.68931134441965,18
210,control,0,198.94135898397235,14
211,control,0,280.40004516485374,12
212,control,0,171.54992981713994,12
213,control,0,525.6120301073805,6
214,control,0,228.57105660711647,4
215,control,0,194.50340986930314,15
216,control,0,140.47710342801804,15
217,control,0,287.5122515709245,17
218,control,0,273.76340831437426,3
219,control,0,308.91148149567226,10
220,control,0,132.1118440843963,21
221,control,0,93.62442316651187,8
222,control,0,356.1509940443772,9
223,control,0,596.324580587033,3
224,control,0,132.18306615207194,1
225,control,0,635.0252552423607,11
226,control,1,290.1350880094091,13
227,control,0,243.6571848522566,12
228,control,0,192.76479791401582,21
229,control,0,106.62192738187079,7
230,control,0,442.5870240158912,2
231,control,0,153.64368427909528,1
232,control,0,153.25696073340268,20
233,control,0,443.7031625040114,3
234,control,0,79.06022722891979,4
235,control,0,98.08567324968315,17
236,control,0,242.04398210897207,18
237,control,0,291.7714112200595,17
238,control,0,327.28808887759243,19
239,control,0,204.16345111016528,4
240,control,1,1116.7989604572524,17
241,control,1,213.4205142472246,2
242,control,0,213.05030440444793,10
243,control,0,151.68530285658252,12
244,control,0,263.57661636536716,13
245,control,1,353.8866765799478,11
246,control,0,503.7836110488068,21
247,control,1,100.12600485427036,8
248,control,1,211.11495530385605,20
249,control,0,319.90438890775846,5
250,control,0,348.01115044045656,2
251,control,0,245.6552658265596,12
252,control,0,338.81504947157174,2
253,control,0,150.59914894354094,6
254,control,0,623.1225814539974,19
255,control,0,443.89003453363284,12
256,control,1,109.18496031372358,13
257,control,0,128.372753827028,17
258,control,0,130.5618355193934,12
259,control,0,367.5215596101261,3
260,control,0,113.20081214277882,8
261,control,1,200.61454883139461,16
262,control,0,321.44377269380874,4
263,control,0,235.16806747574753,13
264,control,0,285.81150194716474,8
265,control,0,129.09110213279968,1
266,control,0,349.6429965416441,3
267,control,0,169.36783099584673,1
268,control,0,201.3869527390996,15
269,control,0,282.2064899197056,18
270,control,0,260.3031550940738,20
271,control,0,248.23801192063485,3
272,control,0,155.96379653363064,15
273,control,0,204.43914531591673,5
274,control,0,245.01272660011836,21
275,control,0,107.22708336947949,10
276,control,0,185.3934308530552,7
277,control,0,308.7734780813038,8
278,control,0,113.69711625622817,3
279,control,0,489.7764149534225,18
280,control,0,524.1447871766547,17
281,control,0,115.92108460029758,16
282,control,0,552.5653902763692,13
283,control,0,224.49446380630977,4
284,control,0,314.5392078105099,3
285,control,0,181.63685084258273,11
286,control,0,425.73917620731845,2
287,control,0,312.2038723117552,18
288,control,0,150.13096993559714,4
289,control,0,121.6172478105371,17
290,control,0,101.88233193388334,6
291,control,0,273.9005449494134,10
292,control,0,344.9787590164962,11
293,control,0,361.6147458965286,5
294,control,0,227.9693849117289,18
295,control,0,122.2174856102565,10
296,control,0,162.512532388329,9
297,control,0,488.5340554473954,16
298,control,0,182.9518239793801,10
299,control,0,266.68030419112256,10
300,control,0,128.33059527275145,4
301,control,0,299.450709267614,21
302,control,0,185.93353348458953,14
303,control,0,458.53087485635035,8
304,control,0,389.2160639435476,1
305,control,1,181.7398796496053,16
306,control,0,226.78480757099715,17
307,control,0,175.79705901797547,10
308,control,0,104.41152708791488,6
309,control,0,146.28174790877162,7
310,control,0,275.59444878097554,18
311,control,0,297.4230984416956,2
312,control,0,267.50245454298346,21
313,control,1,204.17146747239366,9
314,control,0,428.3068866102291,5
315,control,0,254.20096188984306,8
316,control,0,373.1394822737268,5
317,control,0,84.41413979437273,15
318,control,0,23.255922924451117,8
319,control,0,290.1136714515846,5
320,control,0,104.07799893165888,5
321,control,0,215.4069389319473,20
322,control,0,204.12688287699555,17
323,control,0,634.2482006162312,9
324,control,1,311.06376762811806,2
325,control,0,270.29539488320466,1
326,control,0,404.31516805728717,21
327,control,0,305.2400609509369,11
328,control,0,185.93437785054417,15
329,control,0,465.3945582420417,1
330,control,0,125.73165620969472,7
331,control,0,297.06421053414397,19
332,control,0,96.68498569213496,15
333,control,0,276.54299730861817,6
334,control,0,274.73137032319227,20
335,control,0,669.0594881314752,10
336,control,0,95.68060984067967,12
337,control,0,170.62491955860477,13
338,control,0,400.8588843196006,15
339,control,0,299.2233707479346,19
340,control,0,272.6483939409375,17
341,control,0,137.87101555985967,13
342,control,0,171.6588352659725,2
343,control,0,516.4738225706949,18
344,control,0,237.2452660218474,11
345,control,0,306.4994060987185,5
