control_rate,variant_rate
0.06405458106847359,0.11677435947811256
0.06297086958310512,0.11537720034529106
0.060182514158929,0.11938992897336598
0.06867678380560165,0.0663266184263351
0.06070007699095292,0.06627233078421926
0.06591643059065298,0.07169243074680126
0.058141697606593594,0.0720986668083638
0.06583481531592068,0.06404435361563456
0.05671546436445066,0.06846741442498189
0.06571464415905319,0.0659045258981272
0.06796428757592493,0.07491533519399839
0.06370169777757678,0.06546136671953634
0.07057964528800145,0.06724964943987902
0.06714276090482625,0.06593535574661898
0.06870598577127343,0.06376872967720758
0.06547149740193665,0.0690062371406934
0.06440668378973932,0.06583643935879158
0.07082707218393278,0.07075013548578397
0.062188288280334354,0.06159491061857199
0.0698051809899478,0.06485127820994104
0.0652008588582829,0.06831234234924215
