control_rate,variant_rate
0.05392220492225352,0.06092289211398336
0.056365229515779804,0.05656521174351622
0.05731575253549362,0.05840513563551477
0.057275116665785775,0.05724437005442774
0.05433673363870035,0.05738553712004868
0.0536239643264826,0.05979108663690748
0.05904026373969365,0.05865025692702002
0.058899933427957775,0.060211563956411404
0.054262307697477426,0.059382008626056665
0.051471843790253866,0.057530296022054235
0.051748525518308046,0.05668748067291324
0.05104083931058154,0.06011876655021225
0.05391406863517457,0.05958301927709306
0.054792318269245986,0.05174401646984299
0.0536685541767377,0.0554874717758152
0.05495936188130472,0.06129790040355425
0.05960244607900401,0.056340988350095905
0.05153423350555943,0.054879290017794756
0.056318925214414645,0.056691508979772466
0.05066786327173589,0.055564761118430575
0.0586068282861869,0.05783292947868935
0.055130051401041616,0.055891937284862254
0.05373511648743363,0.05855028762130353
0.055390666941440285,0.0591973961440858
0.056503280016810174,0.057056202346535044
0.05605657695241724,0.05531128243180345
0.05486753626464359,0.06082170870386933
0.055029452576117334,0.056381006931932966
